City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,provideniya,64.3833,-173.3,-17.01,88,99,7.18,RU,1676067994
280,ocampo,21.65,-101.5,69.39,16,5,10.63,MX,1676068221
281,kokstad,-30.5472,29.4241,54.9,97,99,2.26,ZA,1676068222
282,tanout,14.9709,8.8879,68.74,15,1,12.95,NE,1676068223
283,akyab,20.15,92.9,65.44,73,0,9.71,MM,1676068224
284,mar del plata,-38.0023,-57.5575,80.83,88,0,13.8,AR,1676067944
285,aberdeen,57.1437,-2.0981,52.66,77,100,10.36,GB,1676068203
286,wolgast,54.05,13.7667,39.85,100,100,21.83,DE,1676068225
287,fairbanks,64.8378,-147.7164,7.21,77,40,5.75,US,1676068226
288,lensk,60.7253,114.9278,-11.34,99,100,3.62,RU,1676068226
289,petropavlovsk-kamchatskiy,53.0452,158.6483,0.19,66,75,11.18,RU,1676068227
290,esperance,-33.8667,121.9,66.0,64,81,12.26,AU,1676068227
291,santa maria,-29.6842,-53.8069,87.1,48,20,4.61,BR,1676068119
292,kotlas,61.2611,46.6556,24.3,92,100,12.59,RU,1676068229
293,olafsvik,64.8945,-23.7142,39.42,83,100,32.1,IS,1676068229
294,kolpashevo,58.3131,82.9089,-10.26,100,35,5.08,RU,1676068230
295,tarakan,3.3,117.6333,76.5,94,20,6.91,ID,1676068231
296,fomboni,-12.28,43.7425,82.02,76,99,11.27,KM,1676068165
297,vilhena,-12.7406,-60.1458,73.62,94,40,6.91,BR,1676068232
298,pastavy,55.1168,26.8326,27.3,90,50,12.71,BY,1676068232
299,arroio grande,-32.2375,-53.0869,78.04,61,0,11.92,BR,1676068233
300,mach,29.8637,67.3298,49.23,37,1,9.95,PK,1676068234
301,jalu,29.0331,21.5482,53.94,61,39,8.88,LY,1676068234
302,ketchikan,55.3422,-131.6461,40.98,81,75,5.75,US,1676068235
303,okha,53.5739,142.9478,-21.62,98,17,4.65,RU,1676068236
304,norman wells,65.282,-126.8329,-7.56,77,75,5.75,CA,1676068064
305,turukhansk,65.8167,87.9833,10.02,94,100,20.07,RU,1676068237
306,dhidhdhoo,6.8833,73.1,79.83,74,95,5.53,MV,1676068237
307,ndele,8.4109,20.6473,74.12,18,3,4.65,CF,1676068238
308,nusaybin,37.0778,41.2178,37.4,62,79,5.66,TR,1676068238
309,norrtalje,59.758,18.705,33.44,97,100,12.12,SE,1676068239
310,dunedin,-45.8742,170.5036,60.35,68,21,7.27,NZ,1676068199
311,howard springs,-12.497,131.047,78.71,96,100,8.9,AU,1676068240
312,blind river,46.1834,-82.9582,21.31,82,100,10.31,CA,1676068240
313,amos,48.5669,-78.1162,14.68,89,100,9.78,CA,1676068241
314,sayaxche,16.5167,-90.1667,79.32,75,54,3.51,GT,1676068241
315,constitucion,-35.3333,-72.4167,66.2,60,10,17.87,CL,1676068242
316,xiamen,24.4798,118.0819,59.25,94,100,2.24,CN,1676068242
317,plouzane,48.3833,-4.6167,48.25,90,100,3.44,FR,1676068243
318,maniitsoq,65.4167,-52.9,-6.0,97,100,9.84,GL,1676068243
319,vila velha,-20.3297,-40.2925,80.55,86,20,12.66,BR,1676068129
320,ambilobe,-13.2,49.05,72.82,95,100,3.31,MG,1676068244
321,havelock,34.8791,-76.9013,71.56,86,20,8.05,US,1676068118
322,ayagoz,47.9714,80.4392,8.22,94,100,16.37,KZ,1676068245
323,orcopampa,-15.2661,-72.3417,50.23,85,100,6.55,PE,1676068245
324,nemuro,43.3236,145.575,27.45,93,100,11.79,JP,1676068246
325,coihaique,-45.5752,-72.0662,56.01,90,72,8.55,CL,1676067996
326,valdemarpils,57.3707,22.5919,33.1,90,97,13.47,LV,1676068247
327,kamina,-8.7386,24.9906,65.43,81,97,3.38,CD,1676068247
328,mudgee,-32.5943,149.5871,79.07,43,45,3.87,AU,1676068248
329,kawalu,-7.3817,108.2082,71.4,94,99,2.48,ID,1676068248
330,dubrovka,53.6907,33.5071,26.6,87,97,12.19,RU,1676068249
331,katsuura,35.1333,140.3,46.69,69,26,18.66,JP,1676068249
